URN,P8MEA,P8MEA_FSM6CLA1A
135818,0.1,-0.01
136404,0.1,-0.01
136643,0.09,-0.01
118108,0.08,-0.01
141257,0.08,-0.01
134314,0.06,-0.01
114286,0.05,-0.01
137384,0.05,-0.01
103094,0.03,-0.01
136580,0.45,-0.02
137969,0.34,-0.02
137033,0.33,-0.02
137600,0.32,-0.02
138823,0.3,-0.02
105986,0.25,-0.02
136731,0.24,-0.02
124846,0.19,-0.02
135795,0.17,-0.02
141369,0.15,-0.02
102048,0.12,-0.02
101943,0.1,-0.02
137833,0.08,-0.02
139442,0.07,-0.02
136650,0.05,-0.02
100966,0.03,-0.02
136616,-0.01,-0.02
135649,-0.03,-0.02
108865,-0.06,-0.02
136347,-0.06,-0.02
137985,0.33,-0.03
140557,0.32,-0.03
135961,0.29,-0.03
117594,0.26,-0.03
136890,0.25,-0.03
107564,0.2,-0.03
120653,0.2,-0.03
138499,0.18,-0.03
118097,0.16,-0.03
140791,0.12,-0.03
134311,0.1,-0.03
135945,0.09,-0.03
140373,0.07,-0.03
137169,0.06,-0.03
137970,0.49,-0.04
136579,0.33,-0.04
137004,0.27,-0.04
142150,0.21,-0.04
137085,0.2,-0.04
137264,0.19,-0.04
124444,0.16,-0.04
139311,0.16,-0.04
136334,0.15,-0.04
140703,0.15,-0.04
102849,0.14,-0.04
136102,0.13,-0.04
139746,0.11,-0.04
134815,0.1,-0.04
103106,0.09,-0.04
120294,0.03,-0.04
132058,0.02,-0.04
139062,0.02,-0.04
